title	url	duration
bicho de pé - não há nada igual ao forró (forró stream)	https://www.youtube.com/watch?v=fTh9pYsi_WQ&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=7	232
falamansa - confidência (forró stream)	https://www.youtube.com/watch?v=2AxNpHocZvA&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=8	223
diego oliveira - oferendar (forró stream)	https://www.youtube.com/watch?v=9uMx7F2ADNg&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=9	296
tom zé - xiquexique (forró stream)	https://www.youtube.com/watch?v=wqWoB7-xPQM&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=10	330
bicho de pé - anjo de guarda noturno (forró stream)	https://www.youtube.com/watch?v=9_Y16YT_Rp0&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=11	241
capoeira - berimbauê balancê (forró stream)	https://www.youtube.com/watch?v=enmuFnojr2M&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=12	240
flávio josé - me diz, amor (forró stream)	https://www.youtube.com/watch?v=OqaPJPWJR3M&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=13	200
chama chuva - morena não se vá (forró stream)	https://www.youtube.com/watch?v=Y46AX3aLTdg&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=14	233
cataia - mangabeira (forró stream)	https://www.youtube.com/watch?v=GIDNUUQc_JY&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=15	225
forró malino - eu sou mais eu (forró stream)	https://www.youtube.com/watch?v=K5PWrfcbUbs&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=16	181
forró malino - hino malino (forró stream)	https://www.youtube.com/watch?v=J1xMq874pJk&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=17	173
forró malino - tempo bom (forró stream)	https://www.youtube.com/watch?v=LjW-9to6Yjk&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=18	216
bicho de pé - nosso xote	https://www.youtube.com/watch?v=9jS7gqhs4Hk&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=19	217
cangaia de jegue - de frente pro mar	https://www.youtube.com/watch?v=hcCUmKpRsPg&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=20	261
circuladô de fulô - ao meu lado é seu lugar	https://www.youtube.com/watch?v=Tj1tTYLGpfU&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=21	202
circuladô de fulô - águas mansas	https://www.youtube.com/watch?v=HTbu_oDYY0k&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=22	191
falamansa - forró de tamanco-forró de sangue novo	https://www.youtube.com/watch?v=5iFA037FpKA&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=23	275
forró malino - eu sou mais eu	https://www.youtube.com/watch?v=lnVnb1PfuJA&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=24	179
falamansa - avisa	https://www.youtube.com/watch?v=7YltUJNUa4o&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=25	264
mastruz com leite - forró bodó	https://www.youtube.com/watch?v=7HuQtIW310Q&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=26	181
limão com mel - vem morena	https://www.youtube.com/watch?v=NU87rxfG47I&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=27	173
forróçacana - o melhor forró do mundo	https://www.youtube.com/watch?v=wS5IuPawB0E&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=28	182
trio dona zefa - tarico	https://www.youtube.com/watch?v=ZTdW10m-rB4&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=29	212
trio dona zefa - forró do talarico	https://www.youtube.com/watch?v=ZcjdgQfBvnw&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=30	170
rastapé - colo de menina	https://www.youtube.com/watch?v=219UB1Esgo4&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=31	203
ele e corno mas e meu amigo	https://www.youtube.com/watch?v=vFULr3DNIfs&list=PLFw9f-nB77-XEbnJs8AAYbGhUMXU-SYvW&index=32	200
